date,store,category,units_sold,revenue
2025-04-22,Rome,Toys,25.0,402.5
2025-04-12,Syracuse,electronics,38.0,3154.0
2025-12-21,Utica,home goods,42.0,1299.06
2025-02-11,Syracuse,Electronics,60.0,5114.4
2025-04-10,Syracuse,toys,10.0,147.1
2025-05-07,Utica,Electronics,39.0,3531.06
2025-03-04,Rome,Groceries,129.0,807.54
2025-05-22,Utica,Home Goods,29.0,921.62
2025-11-26,Utica,groceries,108.0,631.8
2025-09-04,Rome,groceries,135.0,839.7
2025-03-20,Rome,Toys,20.0,289.6
2025-08-28,Albany,toys,19.0,279.49
2025-10-21,Albany,Toys,36.0,546.84
2025-03-09,Albany,Clothing,93.0,2309.19
2025-05-11,Syracuse,clothing,53.0,1361.57
2025-05-14,Utica,Clothing,64.0,1578.24
2025-04-18,Rome,Cloth ing,56.0,1384.88
2025-03-20,Syracuse,clothing,56.0,1332.24
2025-03-13,Utica,Home_Goods,38.0,1266.16
2025-12-22,Rome,Electronics,35.0,
2025-06-26,Syracuse,toys,17.0,283.56
2025-06-22,Syracuse,Clothing,83.0,1974.57
2025-07-27,Syracuse,Groceries,186.0,1244.34
2025-06-04,Rome,Home_Goods,45.0,1371.6
2025-08-22,Syracuse,ELECTRONICS,38.0,3009.6
2025-05-27,Albany,toys,22.0,310.2
2025-05-28,Utica,groceries,151.0,979.99
2025-05-20,Utica,Home Goods,50.0,1663.0
2025-05-05,Rome,home goods,32.0,1026.56
2025-09-22,Utica,groceries,148.0,996.04
2025-05-28,Syracuse,Toys,33.0,465.96
2025-11-27,Syracuse,Clothing,65.0,1484.6
2025-12-28,Syracuse,toys,31.0,446.71
2025-06-18,Syracuse,electronics,25.0,2188.75
2025-02-11,Utica,Electronics,51.0,3674.55
2025-01-10,Rome,Home Goods,32.0,948.48
2025-07-22,Syracuse,home goods,45.0,1634.4
2025-06-01,Rome,toys,32.0,483.52
2025-04-24,Albany,groceries,179.0,1131.28
2025-04-13,Syracuse,Electronics,52.0,4157.4
2025-08-11,Albany,Cloth ing,60.0,1513.2
2025-02-21,Rome,Home_Goods,14.0,406.28
2025-04-09,Albany,toys,19.0,285.95
2025-06-06,Syracuse,ELECTRONICS,32.0,2730.88
2025-03-21,Albany,Home Goods,37.0,1140.34
2025-07-07,Utica,Home Goods,34.0,1129.48
2025-12-25,Albany,groceries,126.0,800.1
2025-10-27,Albany,toys,25.0,365.25
2025-05-01,Syracuse,toys,16.0,214.08
2025-10-07,Utica,Home Goods,47.0,
2025-07-29,Utica,clothing,34.0,838.1
2025-03-25,Rome,toys,23.0,330.51
2025-11-17,Rome,home goods,38.0,1244.88
2025-11-01,Syracuse,Home Goods,42.0,1481.76
2025-11-18,Utica,clothing,54.0,1309.5
2025-06-11,Albany,Clothing,42.0,1107.54
2025-08-29,Syracuse,Home_Goods,21.0,661.08
2025-10-21,Albany,Electronics,49.0,4201.26
2025-08-19,Syracuse,clothing,47.0,1203.67
2025-11-07,Albany,toys,37.0,527.99
2025-08-19,Utica,Groceries,107.0,759.7
2025-07-30,Albany,Groceries,116.0,752.84
2025-08-09,Utica,Clothing,76.0,1698.6
2025-01-20,Syracuse,clothing,67.0,1717.88
2025-08-03,Rome,ELECTRONICS,51.0,3954.03
2025-01-10,Utica,Home_Goods,27.0,848.61
2025-01-16,Albany,toys,24.0,378.96
2025-09-28,Utica,Clothing,69.0,1740.87
2025-09-28,Utica,Groceries,169.0,1073.15
2025-03-01,Utica,electronics,78.0,6814.08
2025-12-26,Syracuse,Clothing,66.0,1620.96
2025-10-16,Albany,Toys,25.0,377.75
2025-11-29,Syracuse,Home_Goods,35.0,
2025-05-24,Albany,Cloth ing,77.0,2011.24
2025-11-25,Syracuse,electronics,52.0,4698.2
2025-07-13,Rome,toys,35.0,498.05
2025-02-16,Utica,Home_Goods,50.0,1570.0
2025-12-12,Syracuse,toys,22.0,314.6
2025-10-18,Syracuse,Electronics,68.0,5476.72
2025-09-02,Rome,Groceries,150.0,972.0
2025-08-27,Utica,Toys,23.0,340.17
2025-10-01,Rome,Clothing,59.0,1362.31
2025-01-06,Rome,Groceries,150.0,982.5
2025-01-27,Rome,Cloth ing,68.0,1682.32
2025-09-17,Rome,Electronics,45.0,3770.55
